"SalesID","SalesEventID","EmployeeID","ItemID","SalesUnitPrice","SalesTax","TotalSalePrice","Quantity","SalesDate"
"35","f42251ba-46cb-43e0-9e29-2c46e6217130","3","3","3.00","0.0800","32400.00","10000","2021-08-03 20:21:13"
"36","40c7957b-a2c0-44fc-bb9e-5111cc737ba7","3","3","3.00","0.0800","29160.00","9000","2021-08-03 00:00:00"
"37","4898a1ba-6d0a-4731-a5d4-3887340fa07b","3","3","3.00","0.0800","29160.00","9000","2021-08-03 00:00:00"
"38","cb240ee3-1754-4fc2-8348-f527cd238316","3","3","3.00","0.0800","32.40","10","2021-08-03 20:22:27"
"39","dfa6850d-8230-4889-a1e8-9060320264b0","3","1","1.00","0.0800","16201.08","15001","2021-08-03 20:23:31"
"40","25f0dad5-fe55-4c99-87a1-231d6a3c99c6","3","3","3.00","0.0800","32400.00","10000","2021-08-03 20:24:01"
"41","92e99223-517c-4319-a2f6-930dbab701a3","3","3","3.00","0.0800","48603.24","15001","2021-08-03 00:00:00"
"42","0a672e3f-c9cc-4264-99fc-879e726e4c56","3","3","0.60","0.0800","3.24","5","2021-08-03 21:53:16"
"43","0a672e3f-c9cc-4264-99fc-879e726e4c56","3","1","1.50","0.0800","16.20","10","2021-08-03 21:53:16"
"44","b2eedf77-15e9-4412-be03-85b830443a91","3","2","2.99","0.0800","209.90","65","2021-08-03 22:00:40"
